연번,관리단체,의류수거함관리코드,행정동,도로명주소,위도,경도,데이터기준일
1,강북장애인단체총연합회,수유3-23,수유3동,서울특별시 강북구 노해로13길 89,37.63924886,127.0175791,2026-06-30
2,강북장애인단체총연합회,번1-10,번1동,서울특별시 강북구 오패산로67길 22,37.63591148,127.0269476,2026-06-30
3,강북장애인단체총연합회,번2-4,번2동,서울특별시 강북구 오현로25가길 92,37.62538679,127.0334626,2026-06-30
4,강북장애인단체총연합회,송천5-14,송천동,서울특별시 강북구 삼양로54마길 21,37.62235854,127.0245979,2026-06-30
5,강북장애인단체총연합회,우이-71,우이동,서울특별시 강북구 삼양로123길 46-28,37.64581456,127.0129147,2026-06-30
6,강북장애인단체총연합회,수유3-51,수유3동,서울특별시 강북구 도봉로99길 72-2,37.6439913,127.0266498,2026-06-30
7,강북장애인단체총연합회,송중9-2,송중동,서울특별시 강북구 오패산로52마길 20,37.62503906,127.0317112,2026-06-30
8,강북장애인단체총연합회,수유2-32,수유2동,서울특별시 강북구 삼양로138길 92,37.64849559,127.0189193,2026-06-30
9,강북장애인단체총연합회,수유1-52,수유1동,서울특별시 강북구 삼양로80나길 57,37.63351483,127.0204189,2026-06-30
10,강북장애인단체총연합회,우이-14,우이동,서울특별시 강북구 삼양로173다길 25,37.66262697,127.0095869,2026-06-30
11,강북장애인단체총연합회,인수-68,인수동,서울특별시 강북구 삼양로90길 7,37.63633997,127.0177533,2026-06-30
12,강북장애인단체총연합회,우이-42,우이동,서울특별시 강북구 삼양로139가길 80,37.65265795,127.0102291,2026-06-30
13,강북장애인단체총연합회,번1-38,번1동,서울특별시 강북구 덕릉로41길 89,37.63802816,127.0279512,2026-06-30
14,강북장애인단체총연합회,송중8-8,송중동,서울특별시 강북구 월계로21다길 5,37.61606416,127.0382613,2026-06-30
15,강북장애인단체총연합회,송천5-42,송천동,서울특별시 강북구 숭인로7나길 35,37.61459389,127.0259678,2026-06-30
16,강북장애인단체총연합회,삼양-47,삼양동,서울특별시 강북구 삼양로41길 12,37.62197334,127.019426,2026-06-30
