연번,행정동,주소,위도,경도,데이터기준일자
1,사당1동,서울특별시 동작구 사당로20길 109,37.4786804,126.9746791,2026-01-08
2,사당1동,서울특별시 동작구 사당로20바길 31,37.4790134,126.9729944,2026-01-08
3,사당1동,서울특별시 동작구 사당로22길 75,37.4801315,126.9771206,2026-01-08
4,사당1동,서울특별시 동작구 사당로22나길 36,37.4806086,126.9751306,2026-01-08
5,사당1동,서울특별시 동작구 사당로30길 43,37.4828803,126.9810091,2026-01-08
6,사당1동,서울특별시 동작구 사당로30길 79,37.4813396,126.980953,2026-01-08
7,사당1동,서울특별시 동작구 사당로30길 97,37.4805197,126.9808628,2026-01-08
8,사당1동,서울특별시 동작구 동작대로9길 26,37.4806997,126.9801504,2026-01-08
9,사당1동,서울특별시 동작구 동작대로9길 28,37.4807087,126.9799469,2026-01-08
10,사당1동,서울특별시 동작구 동작대로9길 36,37.4807267,126.9795851,2026-01-08
11,사당1동,서울특별시 동작구 동작대로11길 33,37.4811501,126.9796755,2026-01-08
12,사당1동,서울특별시 동작구 동작대로13길 12,37.4818801,126.9804214,2026-01-08
13,사당1동,서울특별시 동작구 동작대로13길 38-1,37.4819426,126.9774366,2026-01-08
14,사당1동,서울특별시 동작구 동작대로17길 7,37.4827091,126.9808056,2026-01-08
15,사당1동,서울특별시 동작구 동작대로17길 35,37.4827896,126.9778547,2026-01-08
16,사당1동,서울특별시 동작구 남부순환로 2009,37.4759947,126.9719894,2026-01-08
17,사당1동,서울특별시 동작구 남부순환로 2027,37.4856085,126.9722909,2026-01-08
18,사당1동,서울특별시 동작구 남부순환로 2053,37.4768878,126.9767712,2026-01-08
19,사당1동,서울특별시 동작구 남부순환로255길 10,37.4765982,126.9710847,2026-01-08
20,사당1동,서울특별시 동작구 남부순환로255가길 15,37.4772923,126.9722941,2026-01-08
21,사당1동,서울특별시 동작구 남부순환로255나길 9,37.477211,126.9714236,2026-01-08
22,사당1동,서울특별시 동작구 남부순환로255다길 22,37.4775624,126.9714913,2026-01-08
23,사당1동,서울특별시 동작구 남부순환로257길 30,37.4780131,126.9725199,2026-01-08
24,사당1동,서울특별시 동작구 남부순환로257가길 2,37.4773465,126.9728707,2026-01-08
25,사당1동,서울특별시 동작구 남부순환로257가길 23,37.4782119,126.9748488,2026-01-08
26,사당1동,서울특별시 동작구 남부순환로257가길 24,37.4780858,126.9750637,2026-01-08
27,사당1동,서울특별시 동작구 남부순환로258가길 17,37.4856085,126.9722909,2026-01-08
28,사당1동,서울특별시 동작구 남부순환로259길 18,37.4767426,126.9722378,2026-01-08
29,사당1동,서울특별시 동작구 남부순환로259가길 13,37.4766077,126.9731423,2026-01-08
30,사당1동,서울특별시 동작구 남부순환로261길 20,37.4774549,126.9740238,2026-01-08
31,사당1동,서울특별시 동작구 남부순환로265길 58,37.4782839,126.9745888,2026-01-08
32,사당1동,서울특별시 동작구 남부순환로265길 68,37.4787615,126.9750295,2026-01-08
33,사당1동,서울특별시 동작구 남부순환로269길 56,37.4785816,126.9762845,2026-01-08
34,사당1동,서울특별시 동작구 남부순환로269길 87,37.4791579,126.974758,2026-01-08
35,사당1동,서울특별시 동작구 남부순환로269길 102,37.4797254,126.9741247,2026-01-08
36,사당1동,서울특별시 동작구 남부순환로269길 124,37.4789954,126.9731753,2026-01-08
37,사당4동,서울특별시 동작구 동작대로15길 15,37.4821775,126.9807606,2026-01-08
38,사당4동,서울특별시 동작구 사당로14길 87,37.4805172,126.9697264,2026-01-08
39,사당4동,서울특별시 동작구 사당로14길 40-9,37.4826257,126.9704943,2026-01-08
40,사당4동,서울특별시 동작구 사당로14길 58,37.4818599,126.970359,2026-01-08
41,사당4동,서울특별시 동작구 사당로14길 61-2,37.4815175,126.9705287,2026-01-08
42,사당4동,서울특별시 동작구 사당로14가길 21,37.4842657,126.971059,2026-01-08
43,사당4동,서울특별시 동작구 사당로16길 111,37.4789408,126.9709707,2026-01-08
44,사당4동,서울특별시 동작구 사당로16길 121,37.4785082,126.9707108,2026-01-08
45,사당4동,서울특별시 동작구 사당로16다길 98,37.4846344,126.9682435,2026-01-08
46,사당4동,서울특별시 동작구 사당로16라길 17,37.4822652,126.9699179,2026-01-08
47,사당4동,서울특별시 동작구 사당로16라길 27,37.4819678,126.9696579,2026-01-08
48,사당4동,서울특별시 동작구 사당로16라길 46,37.4814,126.9689233,2026-01-08
49,사당4동,서울특별시 동작구 사당로16마길 3,37.4816441,126.9720776,2026-01-08
50,사당4동,서울특별시 동작구 사당로16마길 21,37.4817519,126.9710035,2026-01-08
51,사당4동,서울특별시 동작구 사당로16마길 29,37.4818149,126.9706643,2026-01-08
52,사당4동,서울특별시 동작구 사당로16마길 36,37.4856085,126.9722909,2026-01-08
53,사당4동,서울특별시 동작구 사당로16사길 2,37.4817429,126.9711391,2026-01-08
54,사당4동,서울특별시 동작구 사당로16사길 39,37.480193,126.9702353,2026-01-08
55,사당4동,서울특별시 동작구 사당로16아길 46,37.4806523,126.9693985,2026-01-08
56,사당4동,서울특별시 동작구 사당로16자길 31,37.4797965,126.9700772,2026-01-08
57,사당4동,서울특별시 동작구 사당로20가길 28,37.4823022,126.9739429,2026-01-08
58,사당4동,서울특별시 동작구 사당로20나길 64,37.4807523,126.9729259,2026-01-08
59,사당4동,서울특별시 동작구 사당로20나길 72,37.4804098,126.9726999,2026-01-08
60,사당4동,서울특별시 동작구 사당로20다길 3,37.4814554,126.9742597,2026-01-08
