연번,관리단체,행정동,설치장소(도로명),위도,경도
1,(사)열린장애인협회,북아현동,북아현로 83,37.56404203,126.9535771
2,(사)열린장애인협회,북아현동,북아현로12길 26,37.56260425,126.9569957
3,(사)열린장애인협회,북아현동,북아현로12길 20,37.56256361,126.9567284
4,(사)열린장애인협회,북아현동,북아현로18길 59,37.5634672,126.9571645
5,(사)열린장애인협회,북아현동,북아현로18길 36,37.5637583,126.9559236
6,(사)열린장애인협회,충현동,충정로5길 16,37.56280406,126.9633165
7,(사)열린장애인협회,북아현동,북아현로20길 82,37.56389979,126.9577424
8,(사)열린장애인협회,북아현동,북아현로14길 69,37.56431824,126.9585817
9,(사)열린장애인협회,충현동,경기대로9길 92,37.56451034,126.9591056
10,(사)열린장애인협회,북아현동,북아현로14가길 43,37.56400858,126.9586143
11,(사)열린장애인협회,북아현동,북아현로 48,37.56176253,126.9559956
12,(사)열린장애인협회,북아현동,북아현로16길 18-2,37.56324489,126.9560865
13,(사)열린장애인협회,북아현동,북아현로18길 39,37.56392202,126.956187
14,(사)열린장애인협회,북아현동,북아현로 68-9,37.56358941,126.9553307
15,(사)열린장애인협회,북아현동,북아현로14길 40,37.56318085,126.9576326
16,(사)열린장애인협회,북아현동,북아현로14길 55,37.56388469,126.9578464
17,(사)열린장애인협회,북아현동,북아현로18길 63-14,37.56382755,126.9575446
18,(사)열린장애인협회,북아현동,북아현로20길 69,37.56420854,126.95716
19,(사)열린장애인협회,북아현동,북아현로20길 45,37.56443719,126.955889
20,(사)열린장애인협회,북아현동,북아현로20길 37-5,37.5646756,126.9551983
21,(사)열린장애인협회,북아현동,북아현로 80-8,37.56425068,126.9542233
22,(사)열린장애인협회,충현동,경기대로 23,37.56154261,126.9617063
23,(사)열린장애인협회,충현동,경기대로 15,37.5608245,126.9616588
24,(사)열린장애인협회,충현동,경기대로 10,37.56030014,126.9620169
25,(사)열린장애인협회,충현동,경기대로 66,37.56461398,126.9641956
26,(사)열린장애인협회,충현동,경기대로 88,37.56658126,126.9646226
27,(사)열린장애인협회,충현동,경기대로9길 18,37.56480343,126.9629068
28,(사)열린장애인협회,충현동,경기대로3길 6,37.5622671,126.9614375
29,(사)열린장애인협회,충현동,경기대로3길 23,37.56200421,126.9606772
30,(사)열린장애인협회,충현동,경기대로5길 36,37.56309339,126.9605857
31,(사)열린장애인협회,충현동,경기대로9길 19,37.56460418,126.9627828
32,(사)열린장애인협회,충현동,경기대로5길 31,37.5631822,126.9596887
33,(사)열린장애인협회,충현동,경기대로9길 47,37.56392206,126.9614509
34,(사)열린장애인협회,충현동,독립문로8길 136-1,37.5654842,126.9598347
35,(사)열린장애인협회,북아현동,북아현로22나길 96,37.56520668,126.957973
36,(사)열린장애인협회,북아현동,북아현로22나길 52,37.56561824,126.9554843
37,(사)열린장애인협회,북아현동,북아현로 126,37.56628573,126.9512308
38,(사)열린장애인협회,북아현동,북아현로22나길 6,37.56617863,126.9530639
39,(사)열린장애인협회,북아현동,북아현로26길 42,37.5667996,126.9519638
40,(사)열린장애인협회,북아현동,북아현로11가길 38,37.56347015,126.9539953
41,(사)열린장애인협회,북아현동,북아현로22길 53,37.56498752,126.9556458
42,(사)열린장애인협회,충현동,경기대로7길 48,37.563961,126.9596386
43,(사)열린장애인협회,충현동,경기대로7길 34,37.56373911,126.9602459
44,(사)열린장애인협회,충현동,경기대로7길 34-10,37.56407678,126.960434
45,(사)열린장애인협회,북아현동,북아현로11가길 18,37.5628812,126.9547815
46,(사)열린장애인협회,북아현동,북아현로25길 23,37.5639637,126.95214
47,(사)열린장애인협회,북아현동,북아현로19길 20-6,37.56401621,126.9525479
48,(사)열린장애인협회,북아현동,북아현로23길 20-6,,
49,(사)열린장애인협회,북아현동,북아현로 99,37.56493691,126.9522535
50,(사)열린장애인협회,북아현동,북아현로 98,37.56523849,126.9525231
51,(사)열린장애인협회,북아현동,북아현로22다길 6,37.56545624,126.9533748
52,(사)열린장애인협회,북아현동,북아현로22나길 62,37.56545074,126.9559508
53,(사)열린장애인협회,북아현동,북아현로22나길 67,37.56571019,126.9563141
54,(사)열린장애인협회,북아현동,북아현로22나길 77,37.56562756,126.957045
55,(사)열린장애인협회,충현동,경기대로 33,37.56250884,126.9617313
56,(사)열린장애인협회,북아현동,북아현로22나길 99-46,37.56570018,126.9585528
57,(사)열린장애인협회,북아현동,북아현로22나길 113,37.56485277,126.958751
58,(사)열린장애인협회,북아현동,북아현로22나길 117,37.56472062,126.9588265
59,(사)열린장애인협회,북아현동,북아현로22길 109,37.5644414,126.9588039
60,(사)열린장애인협회,북아현동,북아현로22길 87,37.56467583,126.9575167
61,(사)열린장애인협회,북아현동,북아현로22길 76,37.56452692,126.9568484
62,(사)열린장애인협회,북아현동,북아현로22길 34,37.56484579,126.9544635
63,(사)열린장애인협회,북아현동,북아현로22길 18,37.56499077,126.9535624
64,(사)열린장애인협회,충현동,경기대로 13,37.56061847,126.9617403
65,(사)열린장애인협회,천연동,독립문로 62,37.56755034,126.9636476
66,(사)열린장애인협회,천연동,독립문로 67,37.56724172,126.9641401
67,(사)열린장애인협회,천연동,독립문로 41,,
68,(사)열린장애인협회,천연동,독립문로 41,,
69,(사)열린장애인협회,천연동,독립문로 35,37.56923414,126.9619993
70,(사)열린장애인협회,천연동,독립문로 27,37.56960522,126.9613126
71,(사)열린장애인협회,천연동,독립문로 12,37.57035745,126.959651
72,(사)열린장애인협회,천연동,독립문로 14,37.57028825,126.9599189
73,(사)열린장애인협회,천연동,독립문로 22-4,37.56992582,126.960579
74,(사)열린장애인협회,천연동,독립문로8길 30,37.56865916,126.9599033
75,(사)열린장애인협회,천연동,독립문로8길 54,37.56879093,126.9584744
76,(사)열린장애인협회,천연동,독립문로8길 33,37.56825401,126.959727
77,(사)열린장애인협회,천연동,독립문로10길 19,37.56807987,126.960862
78,(사)열린장애인협회,천연동,독립문로14길 46,37.56693751,126.9617404
79,(사)열린장애인협회,천연동,독립문로8길 12,37.56887901,126.9607252
80,(사)열린장애인협회,천연동,독립문로10길 24,37.56831529,126.9605734
81,(사)열린장애인협회,북아현동,경기대로 21-13,37.56073197,126.9614078
82,(사)열린장애인협회,북아현동,북아현로6길 25-11,37.56099161,126.9573911
83,(사)열린장애인협회,북아현동,신촌로27길 43,37.55742535,126.9489228
