행정동,도로명주소,지번주소,위도,경도,데이터기준일자
목1동,서울특별시 양천구 목동동로 206-1,서울특별시 양천구 목동 405-207,37.5146676,126.8585807,2025-06-30
목1동,서울특별시 양천구 목동동로 208-12,서울특별시 양천구 목동 405-520,37.5146676,126.8585807,2025-06-30
목1동,서울특별시 양천구 오목로56길 10,서울특별시 양천구 목동 405-472,37.5236861,126.873874,2025-06-30
목1동,서울특별시 양천구 오목로56길 16,서울특별시 양천구 목동 405-12,37.5236861,126.873874,2025-06-30
목1동,서울특별시 양천구 오목로56길 14,서울특별시 양천구 목동 405-30,37.5236861,126.873874,2025-06-30
목1동,서울특별시 양천구 오목로 321-5,서울특별시 양천구 목동 406-290,37.5251151,126.8720178,2025-06-30
목2동,서울특별시 양천구 목동중앙북로12길 13,서울특별시 양천구 목동 506-14,37.5460509,126.8710328,2025-06-30
목2동,서울특별시 양천구 목동중앙북로10길 20,서울특별시 양천구 목동 500-13,37.5463379,126.869248,2025-06-30
목2동,서울특별시 양천구 목동중앙북로10길 30,서울특별시 양천구 목동 500-3,37.5458699,126.8690283,2025-06-30
목2동,서울특별시 양천구 목동중앙본로31길 28,서울특별시 양천구 목동 505-9,37.5459209,126.8696784,2025-06-30
목2동,서울특별시 양천구 목동중앙본로31길 29,서울특별시 양천구 목동 499-18,37.5457042,126.870111,2025-06-30
목2동,서울특별시 양천구 목동중앙북로10길 51,서울특별시 양천구 목동 499-28,37.5458699,126.8690283,2025-06-30
목2동,서울특별시 양천구 목동중앙본로29길 31,서울특별시 양천구 목동 548-1,37.5446957,126.8688864,2025-06-30
목2동,서울특별시 양천구 목동중앙본로29길 20-13,서울특별시 양천구 목동 499-4,37.5452033,126.8697192,2025-06-30
목2동,서울특별시 양천구 목동중앙본로31길 20,서울특별시 양천구 목동 505-6,37.5457939,126.8701322,2025-06-30
목2동,서울특별시 양천구 목동중앙본로32길 2,서울특별시 양천구 목동 531,37.5452911,126.8724596,2025-06-30
목2동,서울특별시 양천구 목동중앙본로30가길 32,서울특별시 양천구 목동 529-3,37.5454742,126.8718808,2025-06-30
목2동,서울특별시 양천구 목동중앙본로30길 64,서울특별시 양천구 목동 528-21,37.544457,126.8725496,2025-06-30
목2동,서울특별시 양천구 목동중앙본로30길 46,서울특별시 양천구 목동 534-19,37.5446529,126.8727426,2025-06-30
목2동,서울특별시 양천구 목동중앙본로30길 38,서울특별시 양천구 목동 534-44,37.5443549,126.8726028,2025-06-30
