연 번,행정동,도로명주소,지번주소,위도,경도
1,후암동,서울특별시 용산구 두텁바위로60길 58 (후암동),서울특별시 용산구 후암동 358-34,37.5487385,126.9831276
2,후암동,서울특별시 용산구 후암로44길 8 (후암동),서울특별시 용산구 후암동 1-20,37.5522792,126.9770906
3,후암동,서울특별시 용산구 두텁바위로75길 3 (후암동),서울특별시 용산구 후암동 30-6,37.55256501,126.9789934
4,후암동,서울특별시 용산구 두텁바위로75길 10 (후암동),서울특별시 용산구 후암동 30-3,37.5523767,126.9786246
5,후암동,서울특별시 용산구 두텁바위로75길 22 (후암동),서울특별시 용산구 후암동 30-68,37.55202273,126.9789609
6,후암동,서울특별시 용산구 후암로34길 31 (후암동),서울특별시 용산구 후암동 30-30,37.55167278,126.9786395
7,후암동,서울특별시 용산구 두텁바위로75길 26 (후암동),서울특별시 용산구 후암동 30-21,37.55190879,126.9790891
8,후암동,서울특별시 용산구 두텁바위로69길 23-4 (후암동),서울특별시 용산구 후암동 58-4,37.55079863,126.9797816
9,후암동,서울특별시 용산구 두텁바위로69길 39 (후암동),서울특별시 용산구 후암동 41-9,37.551292,126.9791038
10,후암동,서울특별시 용산구 후암로28가길 30 (후암동),서울특별시 용산구 후암동 58-13,37.55063276,126.9794541
11,후암동,서울특별시 용산구 후암로28가길 17 (후암동),서울특별시 용산구 후암동 60-28,37.55041881,126.9786737
12,후암동,서울특별시 용산구 후암로16다길 4-6 (후암동),서울특별시 용산구 후암동 247-53,37.54813463,126.978951
13,후암동,서울특별시 용산구 후암로28마길 2 (후암동),서울특별시 용산구 후암동 302,37.54943716,126.9802306
14,후암동,서울특별시 용산구 후암로28다길 4 (후암동),서울특별시 용산구 후암동 55-14,37.54958589,126.979299
15,후암동,서울특별시 용산구 후암로16길 40 (후암동),서울특별시 용산구 후암동 244-132,37.54905605,126.979734
16,후암동,서울특별시 용산구 후암로28바길 17 (후암동),서울특별시 용산구 후암동 297-3,37.54844132,126.9799655
17,후암동,서울특별시 용산구 두텁바위로69길 23-4 (후암동),서울특별시 용산구 후암동 58-4,37.55079863,126.9797816
18,후암동,서울특별시 용산구 두텁바위로31길 20 (후암동),서울특별시 용산구 후암동 264-11,37.54714103,126.9804593
19,후암동,서울특별시 용산구 두텁바위로69길 15-23 (후암동),서울특별시 용산구 후암동 45-35,37.55058711,126.9807548
20,후암동,서울특별시 용산구 후암로16길 17 (후암동),서울특별시 용산구 후암동 244-171,37.54866156,126.9788006
21,후암동,서울특별시 용산구 후암로16가길 24 (후암동),서울특별시 용산구 후암동 252-1,37.54720224,126.9785977
22,후암동,서울특별시 용산구 후암로48길 46 (후암동),서울특별시 용산구 후암동 436-2,37.55309214,126.9785339
23,후암동,서울특별시 용산구 후암로16길 5 (후암동),서울특별시 용산구 후암동 244-110,37.54844794,126.9782257
24,후암동,서울특별시 용산구 소월로 68-1 (후암동),서울특별시 용산구 후암동 448-110,37.55434294,126.977997
25,후암동,서울특별시 용산구 두텁바위로1길 86 (후암동),서울특별시 용산구 후암동 160-1,37.54770302,126.9758613
26,후암동,서울특별시 용산구 후암로48길 16 (후암동),서울특별시 용산구 후암동 438-7,37.55280722,126.9771169
27,후암동,서울특별시 용산구 후암로48길 38-22 (후암동),서울특별시 용산구 후암동 437,37.55290464,126.9784788
28,후암동,서울특별시 용산구 한강대로98나길 12 (후암동),서울특별시 용산구 후암동 143-18,37.54847063,126.9741413
29,후암동,서울특별시 용산구 후암로13가길 18 (후암동),서울특별시 용산구 후암동 105-143,37.54805288,126.9769154
30,후암동,서울특별시 용산구 후암로13가길 28 (후암동),서울특별시 용산구 후암동 105-75,37.5484122,126.9764829
31,후암동,서울특별시 용산구 두텁바위로1길 103-11 (후암동),서울특별시 용산구 후암동 128-2,37.54884723,126.9756973
32,후암동,서울특별시 용산구 두텁바위로1가길 33 (후암동),서울특별시 용산구 후암동 136-2,37.54788514,126.9760123
33,후암동,서울특별시 용산구 한강대로102다길 26 (후암동),서울특별시 용산구 후암동 143-23,37.54832169,126.974389
34,후암동,서울특별시 용산구 한강대로104라길 30-17 (후암동),서울특별시 용산구 후암동 140-6,37.54829789,126.9754231
35,후암동,서울특별시 용산구 두텁바위로13길 6 (후암동),서울특별시 용산구 후암동 175-8,37.54602146,126.9768671
